Last,First,Name,Title
Bernard,Camille,Hairshirt,Green
Brooks,Michelle,Rasul,Morning Dance
Brooks,Michelle,End Of Romanticism,Morning Dance
Brooks,Michelle,Travis Walk,In Step
Brooks,Michelle,Sex Type Thing,Core
Brooks,Michelle,Piece Of Pie,Core
Brooks,Michelle,B.Y.O.B.,Mezmerize
Brooks,Michelle,Question!,Mezmerize
Brooks,Michelle,Duende,[1997] Black Light Syndrome
Brooks,Michelle,Sting Me,Live [Disc 1]
Brooks,Michelle,Rehab,Back to Black
Brooks,Michelle,Palavras Ao Vento,Cássia Eller - Coleção Sem Limite [Disc 2]
Brooks,Michelle,Metrô. Linha 743,Cássia Eller - Sem Limite [Disc 1]
Brooks,Michelle,Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos),Cássia Eller - Sem Limite [Disc 1]
Brooks,Michelle,You Keep On Moving,Come Taste The Band
Brooks,Michelle,No No No,Fireball
Brooks,Michelle,Nobody's Home,Knocking at Your Back Door: The Best Of Deep Purple in the 80's
Brooks,Michelle,Maybe I'm A Leo,Machine Head
Brooks,Michelle,Sometimes I Feel Like Screaming,Purpendicular
Brooks,Michelle,King Of Dreams,Slaves And Masters
Brooks,Michelle,Stormbringer,Stormbringer
Brooks,Michelle,The Battle Rages On,The Battle Rages On
Brooks,Michelle,One Man's Meat,The Battle Rages On
Brooks,Michelle,When Love & Hate Collide,Vault: Def Leppard's Greatest Hits
Brooks,Michelle,Otay,Outbreak
Brooks,Michelle,Terra,Prenda Minha
Brooks,Michelle,Eclipse Oculto,Prenda Minha
Brooks,Michelle,Linha Do Horizonte,Chill: Brazil (Disc 2)
Brooks,Michelle,Abrir A Porta,Chill: Brazil (Disc 2)
Brooks,Michelle,When The Levee Breaks,IV
Brooks,Michelle,Dazed and Confused,Led Zeppelin I
Brooks,Michelle,I Can't Quit You Baby,Led Zeppelin I
Brooks,Michelle,The Lemon Song,Led Zeppelin II
Brooks,Michelle,Ramble On,Led Zeppelin II
Brooks,Michelle,Friends,Led Zeppelin III
Brooks,Michelle,Hey Hey,Unplugged
Brooks,Michelle,Lonely Stranger,Unplugged
Brooks,Michelle,Layla,Unplugged
Brooks,Michelle,Walkin' Blues,Unplugged
Brown,Robert,Your Time Is Gonna Come,Led Zeppelin I
Brown,Robert,Turbo Lover,Living After Midnight
Brown,Robert,Freewheel Burning,Living After Midnight
Brown,Robert,Socorro,Cássia Eller - Sem Limite [Disc 1]
Brown,Robert,Todo Amor Que Houver Nesta Vida,Cássia Eller - Sem Limite [Disc 1]
Brown,Robert,Woman Is The Nigger Of The World (Ao Vivo),Cássia Eller - Coleção Sem Limite [Disc 2]
Brown,Robert,Don't Look Now,"Chronicle, Vol. 2"
Brown,Robert,It's Just A Thought,"Chronicle, Vol. 2"
Brown,Robert,Brasil,Cássia Eller - Coleção Sem Limite [Disc 2]
Brown,Robert,Meu Mundo Fica Completo (Com Você),Cássia Eller - Coleção Sem Limite [Disc 2]
Brown,Robert,Hey Tonight,"Chronicle, Vol. 1"
Brown,Robert,Good Golly Miss Molly,"Chronicle, Vol. 2"
Brown,Robert,"Trash, Trampoline And The Party Girl",B-Sides 1980-1990
Brown,Robert,Love And Peace Or Else,How To Dismantle An Atomic Bomb
Brown,Robert,Crumbs From Your Table,How To Dismantle An Atomic Bomb
Brown,Robert,Discotheque,Pop
Brown,Robert,Staring At The Sun,Pop
Brown,Robert,The Playboy Mansion,Pop
Brown,Robert,Rusty Cage,A-Sides
Brown,Robert,Real Love,Rotten Apples: Greatest Hits
Brown,Robert,Soot & Stars,Judas 0: B-Sides and Rarities
Brown,Robert,Bullet With Butterfly Wings,Rotten Apples: Greatest Hits
Brown,Robert,Road Trippin',Californication
Brown,Robert,Closer To The Heart,Retrospective I (1974-1980)
Brown,Robert,Persuasion,Santana - As Years Go By
Brown,Robert,Funky Piano,Santana Live
Brown,Robert,Stars,Greatest Hits
Brown,Robert,Três Lados,Maquinarama
Brown,Robert,Ali,Maquinarama
Brown,Robert,My Mistake,Judas 0: B-Sides and Rarities
Brown,Robert,Um Dia Qualquer,O Samba Poconé
Brown,Robert,Fat Bottomed Girls,Greatest Hits I
Brown,Robert,You're My Best Friend,Greatest Hits I
Brown,Robert,Save Me,Greatest Hits I
Brown,Robert,Somebody To Love,Greatest Hits I
Brown,Robert,Californication,Californication
Brown,Robert,Mensagen De Amor (2000),Arquivo II
Brown,Robert,La Bella Luna,Arquivo II
Chase,Kathy,O Beco,Arquivo Os Paralamas Do Sucesso
Chase,Kathy,Romance Ideal,Arquivo Os Paralamas Do Sucesso
Chase,Kathy,Flying High Again,Diary of a Madman (Remastered)
Chase,Kathy,Mr. Crowley,Tribute
Chase,Kathy,Children Of The Grave,Tribute
Chase,Kathy,When The World Was Young,Walking Into Clarksdale
Chase,Kathy,Walking Into Clarksdale,Walking Into Clarksdale
Chase,Kathy,Slug,Original Soundtracks 1
Chase,Kathy,Ito Okashi,Original Soundtracks 1
Chase,Kathy,Desire,The Best Of 1980-1990
Chase,Kathy,When I Look At The World,All That You Can't Leave Behind
Chase,Kathy,New York,All That You Can't Leave Behind
Chase,Kathy,Back to Black,Back to Black
Chase,Kathy,Tears Dry On Their Own,Back to Black
Chase,Kathy,She,International Superhits
Chase,Kathy,Geek Stink Breath,International Superhits
Chase,Kathy,Longview,International Superhits
Chase,Kathy,Basket Case,International Superhits
Chase,Kathy,Um Jantar Pra Dois,Chill: Brazil (Disc 2)
Chase,Kathy,Levada do Amor (Ailoviu),Axé Bahia 2001
Chase,Kathy,Communication Breakdown,BBC Sessions [Disc 1] [Live]
Chase,Kathy,I Can't Quit You Baby(2),BBC Sessions [Disc 1] [Live]
Chase,Kathy,Advance Romance,Bongo Fury
Chase,Kathy,Camisa Verde 2001,Carnaval 2001
Chase,Kathy,Mas Que Nada,Chill: Brazil (Disc 1)
Chase,Kathy,Mistério da Raça,Chill: Brazil (Disc 1)
Chase,Kathy,Tarde Em Itapoã,Chill: Brazil (Disc 2)
Chase,Kathy,Soldado Da Paz,Acústico MTV [Live]
Chase,Kathy,Pensamento,Acústico MTV [Live]
Chase,Kathy,Falar A Verdade,Cidade Negra - Hits
Chase,Kathy,Eu Também Quero Beijar,Cidade Negra - Hits
Chase,Kathy,Felicidade Urgente,Na Pista
Chase,Kathy,Yesterdays,Use Your Illusion II
Chase,Kathy,Breakdown,Use Your Illusion II
Chase,Kathy,Estranged,Use Your Illusion II
Chase,Kathy,Colibri,Blue Moods
Chase,Kathy,L'Arc En Ciel De Miles,Blue Moods
Chase,Kathy,Millenium,Blue Moods
Cunningham,Richard,14 Years,Use Your Illusion II
Cunningham,Richard,Pretty Tied Up,Use Your Illusion II
Cunningham,Richard,Garden of Eden,Use Your Illusion I
Cunningham,Richard,Paradise City,Appetite for Destruction
Cunningham,Richard,Rocket Queen,Appetite for Destruction
Cunningham,Richard,You Ain't the First,Use Your Illusion I
Cunningham,Richard,American Idiot,American Idiot
Cunningham,Richard,Give Me Novacaine,American Idiot
Cunningham,Richard,Whatsername,American Idiot
Cunningham,Richard,Geni E O Zepelim,Minha Historia
Cunningham,Richard,Minha Historia,Minha Historia
Cunningham,Richard,Sozinho (Caêdrum 'n' Bass),Sozinho Remix Ao Vivo
Cunningham,Richard,Construção / Deus Lhe Pague,Minha Historia
Cunningham,Richard,O Que Será (À Flor Da Terra),Minha Historia
Cunningham,Richard,Samba De Orly,Minha Historia
Cunningham,Richard,Acrobat,Achtung Baby
Cunningham,Richard,Peace On Earth,All That You Can't Leave Behind
Cunningham,Richard,Dancing Barefoot,B-Sides 1980-1990
Cunningham,Richard,Orientation,"Lost, Season 2"
Cunningham,Richard,House of the Rising Sun,"Lost, Season 1"
Cunningham,Richard,Lost Survival Guide,"Lost, Season 3"
Cunningham,Richard,Enter 77,"Lost, Season 3"
Cunningham,Richard,Exposé,"Lost, Season 3"
Cunningham,Richard,Catch-22,"Lost, Season 3"
Cunningham,Richard,"""?""","Lost, Season 2"
Cunningham,Richard,Even Better Than The Real Thing,Achtung Baby
Cunningham,Richard,Drowning Man,War
Cunningham,Richard,Two Hearts Beat As One,War
Cunningham,Richard,Surrender,War
Cunningham,Richard,Zooropa,Zooropa
Cunningham,Richard,"Crossroads, Pt. 1","Battlestar Galactica, Season 3"
Cunningham,Richard,Seven Minutes to Midnight,"Heroes, Season 1"
Cunningham,Richard,Company Man,"Heroes, Season 1"
Cunningham,Richard,Nebulosa Do Amor,Acústico MTV
Cunningham,Richard,Radio Free Aurope,The Best Of R.E.M.: The IRS Years
Cunningham,Richard,Perfect Circle,The Best Of R.E.M.: The IRS Years
Cunningham,Richard,Loud Love,A-Sides
Cunningham,Richard,Get On The Snake,A-Sides
Dubois,Marc,Miss Sarajevo,Original Soundtracks 1
Dubois,Marc,United Colours,Original Soundtracks 1
Dubois,Marc,Theme From The Swan,Original Soundtracks 1
Dubois,Marc,Women In Uniform,The Beast Live
Dubois,Marc,Corduroy,Live On Two Legs [Live]
Dubois,Marc,MFC,Live On Two Legs [Live]
Dubois,Marc,Heart In Your Hand,Walking Into Clarksdale
Dubois,Marc,Shining In The Light,Walking Into Clarksdale
Dubois,Marc,Iron Man,Tribute
Dubois,Marc,Release,Tangents
Dubois,Marc,All Because Of You,How To Dismantle An Atomic Bomb
Dubois,Marc,A Man And A Woman,How To Dismantle An Atomic Bomb
Dubois,Marc,Adios nonino,South American Getaway
Dubois,Marc,"Suite No. 3 in D, BWV 1068: III. Gavotte I & II",Bach: Orchestral Suites Nos. 1 - 4
Dubois,Marc,Na Frente Da TV,Cidade Negra - Hits
Dubois,Marc,Samba da Bençaco,Chill: Brazil (Disc 1)
Dubois,Marc,Maria Fumaça,Chill: Brazil (Disc 1)
Dubois,Marc,Morro Da Casa Verde 2001,Carnaval 2001
Dubois,Marc,Gavioes 2001,Carnaval 2001
Dubois,Marc,Sam With The Showing Scalp Flat Top,Bongo Fury
Dubois,Marc,Travelling Riverside Blues,BBC Sessions [Disc 1] [Live]
Dubois,Marc,My Love,Axé Bahia 2001
Dubois,Marc,"Tapa Aqui, Descobre Ali",Axé Bahia 2001
Dubois,Marc,Amor Demais,Na Pista
Dubois,Marc,Only A Dream In Rio,Chill: Brazil (Disc 2)
Dubois,Marc,Só Tinha De Ser Com Você,Chill: Brazil (Disc 2)
Dubois,Marc,Whiskey In The Jar,Garage Inc. (Disc 1)
Dubois,Marc,It's A Hard Life,Greatest Hits II
Dubois,Marc,Voodoo,Body Count
Dubois,Marc,Bowels Of The Devil,Body Count
Dubois,Marc,KKK Bitch,Body Count
Dubois,Marc,Body Count,Body Count
Dubois,Marc,Acelerou,Djavan Ao Vivo - Vol. 1
Dubois,Marc,Atrás da Porta,Elis Regina-Minha História
Dubois,Marc,"Alô, Alô, Marciano",Elis Regina-Minha História
Dubois,Marc,As Aparências Enganam,Elis Regina-Minha História
Dubois,Marc,Layla,The Cream Of Clapton
Dubois,Marc,Crossroads,The Cream Of Clapton
Fernandes,João,Helpless,Album Of The Year
Fernandes,João,Mouth To Mouth,Album Of The Year
Fernandes,João,Palco,Unplugged
Fernandes,João,Expresso 2222,Unplugged
Fernandes,João,Comin' Home,Unplugged [Live]
Fernandes,João,Moby Dick,Led Zeppelin II
Fernandes,João,Immigrant Song,Led Zeppelin III
Fernandes,João,Thank You,Led Zeppelin II
Fernandes,João,Living Loving Maid (She's Just A Woman),Led Zeppelin II
Fernandes,João,You've Got Another Thing Comin',Living After Midnight
Fernandes,João,Cafezinho,Cafezinho
Fernandes,João,Santa Clara Clareou,Jorge Ben Jor 25 Anos
Fernandes,João,Encontrar Alguém,Jota Quest-1995
Fernandes,João,No Futuro,Cafezinho
Fernandes,João,Radio Song,Get Born
Fernandes,João,Red House,Are You Experienced?
Fernandes,João,Hey Joe,Are You Experienced?
Fernandes,João,"Always With Me, Always With You",Surfing with the Alien (Remastered)
Fernandes,João,Mama Africa,Jorge Ben Jor 25 Anos
Fernandes,João,Planet Home,Synkronized
Fernandes,João,Deeper Underground,Synkronized
Fernandes,João,Journey To Arnhemland,The Return Of The Space Cowboy
Fernandes,João,As Rosas Não Falam (Beth Carvalho),Vozes do MPB
Fernandes,João,"Greetings from Earth, Pt. 1","Battlestar Galactica (Classic), Season 1"
Fernandes,João,Pilot,Aquaman
Fernandes,João,Give Peace a Chance,Instant Karma: The Amnesty International Campaign to Save Darfur
Fernandes,João,Imagine,Instant Karma: The Amnesty International Campaign to Save Darfur
Fernandes,João,Beautiful Boy,Instant Karma: The Amnesty International Campaign to Save Darfur
Fernandes,João,God,Instant Karma: The Amnesty International Campaign to Save Darfur
Fernandes,João,War Pigs,Speak of the Devil
Fernandes,João,Iron Man/Children of the Grave,Speak of the Devil
Fernandes,João,Still Loving You,20th Century Masters - The Millennium Collection: The Best of Scorpions
Fernandes,João,Papeau Nuky Doe,Cesta Básica
Fernandes,João,Maluco Beleza,Raul Seixas
Fernandes,João,Esporrei Na Manivela,Cesta Básica
Fernandes,João,As Profecias,Raul Seixas
Fernandes,João,Século XXI,Raul Seixas
Fernandes,João,Que Luz É Essa,Raul Seixas
Francis,Edward,Cuyahoga,The Best Of R.E.M.: The IRS Years
Francis,Edward,The Finest Worksong,The Best Of R.E.M.: The IRS Years
Francis,Edward,Can't Get There From Here,The Best Of R.E.M.: The IRS Years
Francis,Edward,Fall On Me,The Best Of R.E.M.: The IRS Years
Francis,Edward,Bicycle Race,Greatest Hits I
Francis,Edward,Alive,Ten
Francis,Edward,Go,Vs.
Francis,Edward,Elderly Woman Behind The Counter In A Small Town,Vs.
Francis,Edward,Bush Doctor,Greatest Hits
Francis,Edward,Time,Dark Side Of The Moon
Francis,Edward,Hip Hop Rio,Os Cães Ladram Mas A Caravana Não Pára
Francis,Edward,Rappers Reais,Os Cães Ladram Mas A Caravana Não Pára
Francis,Edward,Off He Goes,Live On Two Legs [Live]
Francis,Edward,Severed Hand,Pearl Jam
Francis,Edward,Inside Job,Pearl Jam
Francis,Edward,Get Right,Riot Act
Francis,Edward,Given To Fly,Live On Two Legs [Live]
Francis,Edward,Prowler,The Beast Live
Francis,Edward,The Small Hours,Garage Inc. (Disc 2)
Francis,Edward,The Struggle Within,Black Album
Francis,Edward,"Stay (Faraway, So Close!)",Zooropa
Francis,Edward,Dirty Day,Zooropa
Francis,Edward,I Would Do For You,UB40 The Best Of - Volume Two [UK]
Francis,Edward,Wear You To The Ball,UB40 The Best Of - Volume Two [UK]
Francis,Edward,C'est La Vie,UB40 The Best Of - Volume Two [UK]
Francis,Edward,Where Have All The Good Times Gone?,Diver Down
Francis,Edward,Best Thing,Heart of the Night
Francis,Edward,God Gave Rock 'n' Roll To You,Greatest Kiss
Francis,Edward,Surrender,Heart of the Night
Francis,Edward,Shock Me,Greatest Kiss
Francis,Edward,Calling Dr. Love,Greatest Kiss
Francis,Edward,When I Come Around,International Superhits
Francis,Edward,Walking Contradiction,International Superhits
Francis,Edward,Minority,International Superhits
Francis,Edward,Black Diamond,Greatest Kiss
Francis,Edward,The Number Of The Beast,Rock In Rio [CD2]
Francis,Edward,Black Mountain Side,Led Zeppelin I
Francis,Edward,Communication Breakdown,Led Zeppelin I
Girard,Wyatt,From Out Of Nowhere,The Real Thing
Girard,Wyatt,What A Day,King For A Day Fool For A Lifetime
Girard,Wyatt,Ugly In The Morning,King For A Day Fool For A Lifetime
Girard,Wyatt,The Gentle Art Of Making Enemies,King For A Day Fool For A Lifetime
Girard,Wyatt,Easy,Angel Dust
Girard,Wyatt,A Small Victory,Angel Dust
Girard,Wyatt,Trocando Em Miúdos,Minha Historia
Girard,Wyatt,Gota D'água,Minha Historia
Girard,Wyatt,Com Açúcar E Com Afeto,Minha Historia
Girard,Wyatt,Meu Caro Amigo,Minha Historia
Girard,Wyatt,A Statistic,Body Count
Girard,Wyatt,N.I.B.,Black Sabbath
Girard,Wyatt,Snowblind,Black Sabbath Vol. 4 (Remaster)
Girard,Wyatt,C'Mon Everybody,BackBeat Soundtrack
Girard,Wyatt,"Spanish moss-""A sound portrait""-Spanish moss",The Best Of Billy Cobham
Girard,Wyatt,All For You,Alcohol Fueled Brewtality Live! [Disc 1]
Girard,Wyatt,The Begining... At Last,Alcohol Fueled Brewtality Live! [Disc 1]
Girard,Wyatt,Sea Of Sorrow,Facelift
Girard,Wyatt,Real Thing,Facelift
Girard,Wyatt,Falando De Amor,Warner 25 Anos
Girard,Wyatt,The Unforgiven,Plays Metallica By Four Cellos
Girard,Wyatt,Like a Stone,Audioslave
Girard,Wyatt,The Last Remaining Light,Audioslave
Girard,Wyatt,Yesterday To Tomorrow,Out Of Exile
Girard,Wyatt,Heaven Coming Down,Tangents
Girard,Wyatt,The River (Remix),Tangents
Girard,Wyatt,Go Back,Acústico
Girard,Wyatt,"Battlestar Galactica, Pt. 2","Battlestar Galactica (Classic), Season 1"
Girard,Wyatt,"Lost Planet of the Gods, Pt. 1","Battlestar Galactica (Classic), Season 1"
Girard,Wyatt,The Outlaw Torn,Load
Girard,Wyatt,Leper Messiah,Master Of Puppets
Girard,Wyatt,The Unforgiven II,ReLoad
Girard,Wyatt,Prince Charming,ReLoad
Girard,Wyatt,For Whom The Bell Tolls,Ride The Lightning
Girard,Wyatt,Frantic,St. Anger
Girard,Wyatt,Shoot Me Again,St. Anger
Girard,Wyatt,...And Justice For All,...And Justice For All
Girard,Wyatt,To Live Is To Die,...And Justice For All
Gonçalves,Luís,Paranoid,Tribute
Gonçalves,Luís,Flying High Again,Tribute
Gonçalves,Luís,Será Que Vai Chover?,Arquivo Os Paralamas Do Sucesso
Gonçalves,Luís,"Mama, I'm Coming Home",No More Tears (Remastered)
Gonçalves,Luís,Meu Erro,Arquivo Os Paralamas Do Sucesso
Gonçalves,Luís,Mensagen De Amor (2000),Arquivo II
Gonçalves,Luís,Saber Amar,Arquivo II
Gonçalves,Luís,Cinema Mudo,Arquivo Os Paralamas Do Sucesso
Gonçalves,Luís,Vamo Batê Lata,Acústico MTV
Gonçalves,Luís,Experiment In Terra,"Battlestar Galactica (Classic), Season 1"
Gonçalves,Luís,Take the Celestra,"Battlestar Galactica (Classic), Season 1"
Gonçalves,Luís,"Karelia Suite, Op.11: 2. Ballade (Tempo Di Menuetto)",Sibelius: Finlandia
Gonçalves,Luís,Fantasia On Greensleeves,The World of Classical Favourites
Gonçalves,Luís,All Along The Watchtower,Rattle And Hum
Gonçalves,Luís,Doutor,Cidade Negra - Hits
Gonçalves,Luís,Linha Do Equador,Na Pista
Gonçalves,Luís,A Cor Do Sol,Acústico MTV [Live]
Gonçalves,Luís,Podes Crer,Acústico MTV [Live]
Gonçalves,Luís,Lixo Do Mangue,Da Lama Ao Caos
Gonçalves,Luís,Rios Pontes & Overdrives,Da Lama Ao Caos
Gonçalves,Luís,Interlude Zumbi,Afrociberdelia
Gonçalves,Luís,TriboTchan,Axé Bahia 2001
Gonçalves,Luís,Reggae Tchan,Axé Bahia 2001
Gonçalves,Luís,Communication Breakdown(2),BBC Sessions [Disc 1] [Live]
Gonçalves,Luís,Carolina Hard-Core Ecstasy,Bongo Fury
Gonçalves,Luís,X-9 2001,Carnaval 2001
Gonçalves,Luís,Ipiranga 2001,Carnaval 2001
Gonçalves,Luís,Água de Beber,Chill: Brazil (Disc 1)
Gonçalves,Luís,Calling Dr. Love,Greatest Kiss
Gonçalves,Luís,Strutter,Greatest Kiss
Gonçalves,Luís,Cold Gin,Greatest Kiss
Gonçalves,Luís,Shout It Out Loud,Greatest Kiss
Gonçalves,Luís,Back off Bitch,Use Your Illusion I
Gonçalves,Luís,Garden of Eden,Use Your Illusion I
Gonçalves,Luís,Think About You,Appetite for Destruction
Gonçalves,Luís,Rocket Queen,Appetite for Destruction
Gonçalves,Luís,Don't Cry (Original),Use Your Illusion I
Gonçalves,Luís,Coma,Use Your Illusion I
Gordon,John,Preciso Apender a Viver Só (Maysa),Vozes do MPB
Gordon,John,Coração do Agreste (Fafá de Belém),Vozes do MPB
Gordon,John,Romaria (Renato Teixeira),Vozes do MPB
Gordon,John,Bad Moon Rising,"Chronicle, Vol. 1"
Gordon,John,Down On The Corner,"Chronicle, Vol. 1"
Gordon,John,Up Around The Bend,"Chronicle, Vol. 1"
Gordon,John,Dandelion,Out Of Exile
Gordon,John,Your Time Has Come,Out Of Exile
Gordon,John,Heart Of Gold,Alcohol Fueled Brewtality Live! [Disc 2]
Gordon,John,Super Terrorizer,Alcohol Fueled Brewtality Live! [Disc 1]
Gordon,John,Moon germs,The Best Of Billy Cobham
Gordon,John,Rock 'N' Roll Music,BackBeat Soundtrack
Gordon,John,Cornucopia,Black Sabbath Vol. 4 (Remaster)
Gordon,John,Evil Woman,Black Sabbath
Gordon,John,Bowels Of The Devil,Body Count
Gordon,John,Body Count Anthem,Body Count
Gordon,John,Jerusalem,Chemical Wedding
Gordon,John,When My Left Eye Jumps,The Best Of Buddy Guy - The Millenium Collection
Gordon,John,Meditação,Prenda Minha
Gordon,John,Esse Cara,Prenda Minha
Gordon,John,Sweetest Thing,B-Sides 1980-1990
Gordon,John,The Three Sunrises,B-Sides 1980-1990
Gordon,John,Salve Nossa Senhora,Serie Sem Limite (Disc 1)
